respondent_id,age,gender,income,education,satisfaction,region,product_used,purchase_intent,usage_frequency
1,25,Male,45000,Bachelor,4,North,ProductA,Yes,Daily
2,34,Female,62000,Master,5,South,ProductB,Yes,Weekly
3,42,Male,78000,PhD,3,East,ProductA,No,Monthly
4,28,Female,51000,Bachelor,4,West,ProductC,Yes,Daily
5,55,Male,95000,Master,5,North,ProductB,Yes,Daily
6,31,Female,48000,Bachelor,3,South,ProductA,Maybe,Weekly
7,47,Male,82000,PhD,4,East,ProductC,Yes,Monthly
8,29,Female,54000,Master,5,West,ProductB,Yes,Daily
9,38,Male,67000,Bachelor,3,North,ProductA,No,Weekly
10,52,Female,88000,PhD,4,South,ProductC,Yes,Monthly
11,26,Male,43000,Bachelor,4,East,ProductA,Maybe,Daily
12,35,Female,59000,Master,5,West,ProductB,Yes,Weekly
13,44,Male,76000,PhD,3,North,ProductC,No,Monthly
14,30,Female,52000,Bachelor,4,South,ProductA,Yes,Daily
15,58,Male,92000,Master,5,East,ProductB,Yes,Weekly
16,27,Female,47000,Bachelor,3,West,ProductA,Maybe,Daily
17,41,Male,73000,PhD,4,North,ProductC,Yes,Monthly
18,33,Female,56000,Master,5,South,ProductB,Yes,Daily
19,49,Male,84000,Bachelor,3,East,ProductA,No,Weekly
20,32,Female,53000,PhD,4,West,ProductC,Yes,Monthly
21,36,Male,61000,Bachelor,5,North,ProductA,Yes,Daily
22,45,Female,75000,Master,4,South,ProductB,Maybe,Weekly
23,29,Male,49000,PhD,3,East,ProductC,No,Monthly
24,37,Female,64000,Bachelor,5,West,ProductA,Yes,Daily
25,53,Male,89000,Master,4,North,ProductB,Yes,Weekly
26,28,Female,46000,Bachelor,3,South,ProductC,Maybe,Daily
27,43,Male,77000,PhD,5,East,ProductA,Yes,Monthly
28,31,Female,55000,Master,4,West,ProductB,Yes,Daily
29,48,Male,83000,Bachelor,3,North,ProductC,No,Weekly
30,34,Female,58000,PhD,5,South,ProductA,Yes,Monthly
31,39,Male,68000,Bachelor,4,East,ProductB,Maybe,Daily
32,54,Female,90000,Master,5,West,ProductC,Yes,Weekly
33,27,Male,44000,Bachelor,3,North,ProductA,No,Monthly
34,40,Female,71000,PhD,4,South,ProductB,Yes,Daily
35,51,Male,86000,Master,5,East,ProductC,Yes,Weekly
36,30,Female,50000,Bachelor,3,West,ProductA,Maybe,Daily
37,46,Male,79000,PhD,4,North,ProductB,Yes,Monthly
38,35,Female,60000,Master,5,South,ProductC,Yes,Daily
39,50,Male,85000,Bachelor,3,East,ProductA,No,Weekly
40,33,Female,57000,PhD,4,West,ProductB,Yes,Monthly
41,38,Male,66000,Bachelor,5,North,ProductC,Yes,Daily
42,56,Female,93000,Master,4,South,ProductA,Maybe,Weekly
43,29,Male,48000,Bachelor,3,East,ProductB,No,Monthly
44,41,Female,72000,PhD,5,West,ProductC,Yes,Daily
45,52,Male,87000,Master,4,North,ProductA,Yes,Weekly
46,28,Female,45000,Bachelor,3,South,ProductB,Maybe,Daily
47,44,Male,74000,PhD,5,East,ProductC,Yes,Monthly
48,32,Female,54000,Master,4,West,ProductA,Yes,Daily
49,47,Male,80000,Bachelor,3,North,ProductB,No,Weekly
50,36,Female,63000,PhD,5,South,ProductC,Yes,Monthly
